chunk_path,original_filename,start_s,end_s
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_0-10s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,0,10
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_10-20s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,10,20
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_20-30s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,20,30
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_30-40s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,30,40
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_40-50s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,40,50
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_50-60s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,50,60
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_60-70s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,60,70
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_70-80s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,70,80
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_80-90s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,80,90
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_90-100s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,90,100
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_100-110s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,100,110
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_110-120s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,110,120
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_120-130s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,120,130
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_130-140s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,130,140
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_140-150s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,140,150
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_150-160s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,150,160
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_160-170s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,160,170
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_170-180s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,170,180
/content/temp_audio_chunks/QUELLI CHE NON PENSANO - Il cervello (feat. Coez)_180-190s.wav,QUELLI CHE NON PENSANO - Il cervello (feat. Coez).mp3,180,190
